Runtype,Year,FHCRC,UMICH
continued,1975,66.96,67.17
continued,1976,66.46,67.22
continued,1977,66.39,67.32
continued,1978,66.12,67.38
continued,1979,66.32,67.39
continued,1980,65.57,67.25
continued,1981,65.76,67.26
continued,1982,65.75,67.27
continued,1983,65.40,67.28
continued,1984,65.74,67.31
continued,1985,65.25,67.31
continued,1986,65.20,67.30
continued,1987,65.65,67.25
continued,1988,65.64,67.13
continued,1989,65.09,66.64
continued,1990,63.45,64.92
continued,1991,60.84,60.77
continued,1992,56.38,54.22
continued,1993,51.24,47.38
continued,1994,47.15,42.42
continued,1995,43.26,39.57
continued,1996,41.23,38.36
continued,1997,39.63,37.50
continued,1998,38.23,36.61
continued,1999,36.80,35.49
continued,2000,35.56,34.13
continued,2001,33.93,32.66
continued,2002,32.32,31.20
continued,2003,31.07,29.87
continued,2004,29.91,28.64
continued,2005,28.73,27.52
continued,2006,27.48,26.61
continued,2007,26.75,25.88
continued,2008,26.12,25.29
continued,2009,25.49,24.84
continued,2010,24.99,24.50
continued,2011,24.72,24.25
continued,2012,24.52,24.04
continued,2013,24.14,23.88
continued,2014,23.97,23.73
continued,2015,23.69,23.61
continued,2016,23.56,23.52
continued,2017,23.38,23.47
continued,2018,23.00,23.47
continued,2019,23.09,23.49
continued,2020,22.97,23.55
continued,2021,22.97,23.64
continued,2022,22.92,23.78
continued,2023,22.86,23.95
continued,2024,22.88,24.13
continued,2025,22.81,24.34
discontinued,1975,66.76,67.17
discontinued,1976,66.67,67.22
discontinued,1977,66.41,67.32
discontinued,1978,66.29,67.38
discontinued,1979,65.83,67.39
discontinued,1980,65.38,67.25
discontinued,1981,66.05,67.26
discontinued,1982,65.68,67.27
discontinued,1983,65.69,67.28
discontinued,1984,65.69,67.31
discontinued,1985,65.44,67.31
discontinued,1986,65.39,67.30
discontinued,1987,65.76,67.25
discontinued,1988,65.32,67.13
discontinued,1989,64.75,66.64
discontinued,1990,63.55,64.92
discontinued,1991,60.98,60.77
discontinued,1992,56.45,54.22
discontinued,1993,51.54,47.38
discontinued,1994,47.20,42.42
discontinued,1995,43.47,39.57
discontinued,1996,41.21,38.36
discontinued,1997,39.51,37.50
discontinued,1998,38.22,36.61
discontinued,1999,36.90,35.49
discontinued,2000,35.56,34.13
discontinued,2001,33.97,32.66
discontinued,2002,32.46,31.20
discontinued,2003,31.19,29.87
discontinued,2004,29.85,28.64
discontinued,2005,28.62,27.52
discontinued,2006,27.68,26.61
discontinued,2007,26.85,25.88
discontinued,2008,26.06,25.29
discontinued,2009,25.55,24.84
discontinued,2010,25.26,24.50
discontinued,2011,24.88,24.25
discontinued,2012,24.57,24.04
discontinued,2013,24.77,27.29
discontinued,2014,27.47,31.92
discontinued,2015,30.61,36.35
discontinued,2016,34.51,40.48
discontinued,2017,38.71,44.29
discontinued,2018,42.86,47.73
discontinued,2019,46.63,50.81
discontinued,2020,50.30,53.53
discontinued,2021,53.54,55.91
discontinued,2022,56.01,57.96
discontinued,2023,58.01,59.72
discontinued,2024,59.83,61.20
discontinued,2025,60.90,62.45
